,ID,River,Haplogroup
0,HGDP01352,Yellow River,N1b1a1
1,HGDP01348,Yellow River,N1b1a1
2,HGDP01349,Yellow River,O1b1a1a1a2
3,HGDP01353,Yellow River,O2a2b1a2a1a1a1
4,HGDP01351,Yellow River,O2a2b1a2a1a1b1a1
5,HGDP01347,Yellow River,O2a2b1a2a1a4a1
6,HGDP01230,Yellow River,C2a1a3a1e1
7,HGDP01226,Yellow River,D1a1b1a
8,HGDP01224,Yellow River,N1a1a1a1a3a2b2
9,HGDP01225,Yellow River,O2a2b1a1a1
10,HGDP01229,Yellow River,O2a2b1a1a1a1a1b1a1a2
11,HGDP01227,Yellow River,Q1b1a3b
12,HGDP01296,Yellow River,C2a1a1b1a
13,HGDP01288,Yellow River,C2b1a1a1a1
14,HGDP01293,Yellow River,N1a2a1
15,HGDP01292,Yellow River,N1b2
16,HGDP01295,Yellow River,N1b2
17,HGDP00780,Yellow River,O1a1a1a3a
18,HGDP00977,Yellow River,O1a1a1b1a1
19,HGDP00774,Yellow River,O1a1a2c
20,HGDP00782,Yellow River,O1b1a1a1a1a1a1b1
21,HGDP01289,Yellow River,O1b1a1a1a1b2a1a2
22,HGDP00786,Yellow River,O1b1a2a
23,HGDP01294,Yellow River,O2a1b1a1a1a1a1a1b1
24,HGDP00971,Yellow River,O2a1b1a2a1a2b
25,HGDP00819,Yellow River,O2a2a1a1a1b
26,HGDP00815,Yellow River,O2a2b1a1a1a1a1a1b1
27,HGDP00779,Yellow River,O2a2b1a1a1a1b
28,HGDP00822,Yellow River,O2a2b1a1a1b1a1b
29,HGDP00821,Yellow River,O2a2b1a1a1b2
30,HGDP01290,Yellow River,O2a2b1a1b
31,HGDP00973,Yellow River,O2a2b2b1a1
32,HGDP00777,Yellow River,Q1a1a1a
33,LP6005441-DNA_C05,Yellow River,O1a1a1a1a1a1d1a1
34,NA18749,Yellow River,C2b1a1a1b
35,NA18620,Yellow River,C2b1a2a1a1
36,NA18612,Yellow River,C2b1a2b2a
37,NA18549,Yellow River,G2a2b2a1a1c1b
38,NA18613,Yellow River,N1a2a1a1
39,NA18747,Yellow River,N1b1a1a
40,NA18558,Yellow River,N1b1a1b
41,NA18608,Yellow River,N1b1a2a
42,NA18748,Yellow River,N1b1b1
43,NA18639,Yellow River,N1b2a1a
44,NA18536,Yellow River,O1a1a1a1a1a1a
45,NA18606,Yellow River,O1a1a1a1a1a2a2
46,NA18740,Yellow River,O1a1a2a1a1a
47,NA18632,Yellow River,O1a1a2a1b1a
48,NA18647,Yellow River,O1a1b
49,NA18636,Yellow River,O1b1a1a1a1b1b1
50,NA18638,Yellow River,O1b1a1b1a1a1
51,NA18603,Yellow River,O1b1a2a1
52,NA18637,Yellow River,O1b1a2a1a
53,NA18534,Yellow River,O1b1a2b1a
54,NA18561,Yellow River,O1b2a1a2a1b1
55,NA18563,Yellow River,O1b2a1b
56,NA18745,Yellow River,O2a1a1a1b1a
57,NA18605,Yellow River,O2a1a1b1a1b
58,NA18629,Yellow River,O2a1b1a1a1a1a1b1a1
59,NA18611,Yellow River,O2a1b1a1a1a1a1b2
60,NA18633,Yellow River,O2a1b1a1a1a1a3
61,NA18559,Yellow River,O2a1b1a1a1a1d1
62,NA18544,Yellow River,O2a1b2
63,NA18621,Yellow River,O2a2a2a1
64,NA18624,Yellow River,O2a2b1a1a1
65,NA18557,Yellow River,O2a2b1a1a1a1a1a1a1a5
66,NA18622,Yellow River,O2a2b1a1a1a1a1b1
67,NA18757,Yellow River,O2a2b1a1a1a1a1c1
68,NA18530,Yellow River,O2a2b1a1a1a4a
69,NA18623,Yellow River,O2a2b1a1a1b2
70,NA18548,Yellow River,O2a2b1a1b
71,NA18635,Yellow River,O2a2b1a2a1
72,NA18562,Yellow River,O2a2b1a2a1a1a1
73,NA18609,Yellow River,O2a2b1a2a1a1a1
74,NA18572,Yellow River,O2a2b1a2a1a1a2a1
75,NA18546,Yellow River,O2a2b1a2a1a1a2a1a1a
76,NA18643,Yellow River,O2a2b1a2a1a1b
77,NA18543,Yellow River,O2a2b1a2a1a1b1b2a
78,NA18648,Yellow River,O2a2b1a2a1a1b1b2b2
79,NA18645,Yellow River,R1b1a1b1b
80,HG02373,Yangtze River,C2b1b1a1b
81,HG02396,Yangtze River,O1a1a1a1a1a1a5
82,HG02384,Yangtze River,O1a1a1a1a1a1a5
83,HG02360,Yangtze River,O1a1a1b1b1a1a
84,HG01811,Yangtze River,O1a1a2a1a3
85,HG02399,Yangtze River,O1a1a2a1a3
86,HG02353,Yangtze River,O1a1a2a1a3
87,HG02385,Yangtze River,O1a1a2a1a3a
88,HG02250,Yangtze River,O1a1a2a1a3a
89,HG02386,Yangtze River,O1b1a1a1a1a1a1a1
90,HG02351,Yangtze River,O1b1a1a1a1a1a1a1a1a1a
91,HG02398,Yangtze River,O1b1a1a1a1a1a1a1a1a1a
92,HG02382,Yangtze River,O1b1a1a1a1a1a1a1a1a1a
93,HG02408,Yangtze River,O1b1a1a1a1a1a1a1b
94,HG02394,Yangtze River,O1b1a1a1a1a1a1a1b
95,HG02364,Yangtze River,O1b1a1a1a1a1a1a1b
96,HG02410,Yangtze River,O1b1a1a1a1a1a1a1b
97,HG02356,Yangtze River,O1b1a1a1a1a1a1a2a
98,HG02397,Yangtze River,O1b1a1a1a1a1b1a
99,HG02395,Yangtze River,O1b1a1a1a1a1b1a
100,HG00844,Yangtze River,O1b1a1a1a1a1b1b
101,HG02402,Yangtze River,O1b1a1a1a1b1a1a1a2b
102,HG01028,Yangtze River,O1b1a1a1a1b1a1a1a3
103,HG00982,Yangtze River,O1b1a1a1a1b1b
104,HG01031,Yangtze River,O1b1a1a1a1b1b
105,HG02401,Yangtze River,O1b1a1a1a1b1b
