Haplogroup,score
C1b1a2b,1
C2b1b1a1b,1
C2b1b1b2,1
D1a1a1a1b,1
F,1
N1b2,0
O1a1a1a1a1a1a5,1
O1a1a1b1b1a1a,1
O1a1a2a1a3,1
O1a1a2a1a3a,1
O1b1,1
O1b1a1a1a1a1a1a1,0
O1b1a1a1a1a1a1a1a1a1a,0
O1b1a1a1a1a1a1a1b,1
O1b1a1a1a1a1a1a2a,1
O1b1a1a1a1a1a1a2b,0
O1b1a1a1a1a1b1a,1
O1b1a1a1a1a1b1b,1
O1b1a1a1a1b1a1a1a2b,1
O1b1a1a1a1b1a1a1a3,1
O1b1a1a1a1b1b,1
O1b1a1a1a1b2a1a1a,1
O1b1a1a1a2a1,1
O1b1a1a1b,1
O1b1a1a1b1,1
O1b1a1a1b1a,0
O1b1a1a1b1b,1
O1b1a1a1b1b1a,1
O1b1a1a1b2a,0
O2a1a1a1a1b1,1
O2a1b1a1a1a1f1a2a,0
O2a1b1a1a1a1f1a2a1a,1
O2a1b2a1a,1
O2a1b2a2a,1
O2a2a1a2a1a1a2a1a1a1,1
O2a2a1a2a1b,0
O2a2b1a1a1a1a1a1a,1
O2a2b1a1a1a3a1a2,1
O2a2b1a1a1a4a,0
O2a2b1a1a1a4a2a,1
O2a2b1a1a1a4a2a1a1,0
O2a2b1a1a1a4a2a1b,1
O2a2b1a1a1a4a2a3,1
O2a2b1a1a1c1b,1
O2a2b1a2a1a1a2a1a1a,0
O2a2b1a2a1a2a1,1
O2a2b1a2a1a2a1a,0
O2a2b2a1b1,0
Q1a1a1,0
Q1a1a1a,0
