Haplogroup,score
C2b2,1
O1a1a1a1a1a1b,1
O1a1a1a1a1a1c1a1,1
O1a1a2a1a2,1
O1b1a1a1a1a1a1a1a1a1a,0
O1b1a1a1a1a1b1a1a,1
O1b1a1a2,1
O1b1a1b1a1b2,1
O1b1a2a1,0
O1b1a2c,0
O1b2a1a2b,1
O2a1a1a1a,1
O2a1a1a1a2,1
O2a1a1a1b1,1
O2a1b1a1a1a1a1a1a1a1,1
O2a1b1a1a1a1a1a1a1a2a,1
O2a1b1a1a1a1a1a1a1a2a1a,1
O2a1b1a1a1a1a1a1a2a,1
O2a1b1a1a1a1a1a1a2b,1
O2a1b1a1a1a1a1a1b1b1,1
O2a1b1a1a1a1a1a1b1e,1
O2a1b1a1a1a1f2b,1
O2a1b1a1a1a1h1,1
O2a1b1a2a1a1a1b1,1
O2a1b1a2a2b,1
O2a2a1a1a1a,1
O2a2a1a2a1a1a2a1a1a,1
O2a2a1a2a1a1b2,1
O2a2a2a2,1
O2a2b1a1a1,0
O2a2b1a1a1a1,1
O2a2b1a1a1a3a1a1,1
O2a2b1a1a1c1a1a1,1
O2a2b1a1a1c1a1a2a,0
O2a2b1a2a1a1a1a1a1a,1
O2a2b1a2a1a1b1,1
O2a2b1a2a1a1b1b1,1
O2a2b1a2a1a1b1b2b2,0
O2a2b1a2a1a2a1a,0
O2a2b2a1a1,1
O2a2b2a1b1,0
O2b1a1a1a1,1
