Haplogroup	Frequency_Yangtze_River	Frequency_non_Yangtze_River	Total_Yangtze_River	Total_non_Yangtze_River
C1b1a2b	0.011905	0.000000	84	2153
C2b1b1a1b	0.011905	0.000000	84	2153
C2b1b1b2	0.011905	0.000000	84	2153
D1a1a1a1b	0.023810	0.000000	84	2153
F	0.059524	0.000000	84	2153
N1b2	0.047619	0.000929	84	2153
O1a1a1a1a1a1a5	0.023810	0.000000	84	2153
O1a1a1b1b1a1a	0.023810	0.000000	84	2153
O1a1a2a1a3	0.035714	0.000000	84	2153
O1a1a2a1a3a	0.023810	0.000000	84	2153
O1b1	0.011905	0.000000	84	2153
O1b1a1a1a1a1a1a1	0.011905	0.002322	84	2153
O1b1a1a1a1a1a1a1a1a1a	0.035714	0.000929	84	2153
O1b1a1a1a1a1a1a1b	0.047619	0.000000	84	2153
O1b1a1a1a1a1a1a2a	0.023810	0.000000	84	2153
O1b1a1a1a1a1a1a2b	0.023810	0.000464	84	2153
O1b1a1a1a1a1b1a	0.023810	0.000000	84	2153
O1b1a1a1a1a1b1b	0.011905	0.000000	84	2153
O1b1a1a1a1b1a1a1a2b	0.011905	0.000000	84	2153
O1b1a1a1a1b1a1a1a3	0.011905	0.000000	84	2153
O1b1a1a1a1b1b	0.047619	0.000000	84	2153
O1b1a1a1a1b2a1a1a	0.023810	0.000000	84	2153
O1b1a1a1a2a1	0.023810	0.000000	84	2153
O1b1a1a1b	0.011905	0.000000	84	2153
O1b1a1a1b1	0.011905	0.000000	84	2153
O1b1a1a1b1a	0.011905	0.000929	84	2153
O1b1a1a1b1b	0.011905	0.000000	84	2153
O1b1a1a1b1b1a	0.023810	0.000000	84	2153
O1b1a1a1b2a	0.011905	0.000464	84	2153
O2a1a1a1a1b1	0.011905	0.000000	84	2153
O2a1b1a1a1a1f1a2a	0.011905	0.000464	84	2153
O2a1b1a1a1a1f1a2a1a	0.011905	0.000000	84	2153
O2a1b2a1a	0.011905	0.000000	84	2153
O2a1b2a2a	0.011905	0.000000	84	2153
O2a2a1a2a1a1a2a1a1a1	0.023810	0.000000	84	2153
O2a2a1a2a1b	0.011905	0.002787	84	2153
O2a2b1a1a1a1a1a1a	0.011905	0.000000	84	2153
O2a2b1a1a1a3a1a2	0.011905	0.000000	84	2153
O2a2b1a1a1a4a	0.011905	0.001858	84	2153
O2a2b1a1a1a4a2a	0.011905	0.000000	84	2153
O2a2b1a1a1a4a2a1a1	0.047619	0.000464	84	2153
O2a2b1a1a1a4a2a1b	0.035714	0.000000	84	2153
O2a2b1a1a1a4a2a3	0.011905	0.000000	84	2153
O2a2b1a1a1c1b	0.011905	0.000000	84	2153
O2a2b1a2a1a1a2a1a1a	0.011905	0.001858	84	2153
O2a2b1a2a1a2a1	0.011905	0.000000	84	2153
O2a2b1a2a1a2a1a	0.011905	0.000929	84	2153
O2a2b2a1b1	0.011905	0.000464	84	2153
Q1a1a1	0.011905	0.000464	84	2153
Q1a1a1a	0.023810	0.000464	84	2153
