Haplogroup	Frequency_Zhujiang_River	Frequency_non_Zhujiang_River	Total_Zhujiang_River	Total_non_Zhujiang_River
C2b2	0.021739	0.000000	92	2145
O1a1a1a1a1a1b	0.021739	0.000000	92	2145
O1a1a1a1a1a1c1a1	0.021739	0.000000	92	2145
O1a1a2a1a2	0.010870	0.000000	92	2145
O1b1a1a1a1a1a1a1a1a1a	0.021739	0.001399	92	2145
O1b1a1a1a1a1b1a1a	0.010870	0.000000	92	2145
O1b1a1a2	0.043478	0.000000	92	2145
O1b1a1b1a1b2	0.021739	0.000000	92	2145
O1b1a2a1	0.021739	0.000466	92	2145
O1b1a2c	0.010870	0.000932	92	2145
O1b2a1a2b	0.043478	0.000000	92	2145
O2a1a1a1a	0.010870	0.000000	92	2145
O2a1a1a1a2	0.021739	0.000000	92	2145
O2a1a1a1b1	0.097826	0.000000	92	2145
O2a1b1a1a1a1a1a1a1a1	0.010870	0.000000	92	2145
O2a1b1a1a1a1a1a1a1a2a	0.010870	0.000000	92	2145
O2a1b1a1a1a1a1a1a1a2a1a	0.010870	0.000000	92	2145
O2a1b1a1a1a1a1a1a2a	0.010870	0.000000	92	2145
O2a1b1a1a1a1a1a1a2b	0.021739	0.000000	92	2145
O2a1b1a1a1a1a1a1b1b1	0.010870	0.000000	92	2145
O2a1b1a1a1a1a1a1b1e	0.010870	0.000000	92	2145
O2a1b1a1a1a1f2b	0.010870	0.000000	92	2145
O2a1b1a1a1a1h1	0.021739	0.000000	92	2145
O2a1b1a2a1a1a1b1	0.021739	0.000000	92	2145
O2a1b1a2a2b	0.010870	0.000000	92	2145
O2a2a1a1a1a	0.163043	0.000000	92	2145
O2a2a1a2a1a1a2a1a1a	0.021739	0.000000	92	2145
O2a2a1a2a1a1b2	0.010870	0.000000	92	2145
O2a2a2a2	0.032609	0.000000	92	2145
O2a2b1a1a1	0.021739	0.001399	92	2145
O2a2b1a1a1a1	0.010870	0.000000	92	2145
O2a2b1a1a1a3a1a1	0.021739	0.000000	92	2145
O2a2b1a1a1c1a1a1	0.021739	0.000000	92	2145
O2a2b1a1a1c1a1a2a	0.010870	0.000466	92	2145
O2a2b1a2a1a1a1a1a1a	0.021739	0.000000	92	2145
O2a2b1a2a1a1b1	0.010870	0.000000	92	2145
O2a2b1a2a1a1b1b1	0.032609	0.000000	92	2145
O2a2b1a2a1a1b1b2b2	0.032609	0.002331	92	2145
O2a2b1a2a1a2a1a	0.021739	0.000466	92	2145
O2a2b2a1a1	0.010870	0.000000	92	2145
O2a2b2a1b1	0.010870	0.000466	92	2145
O2b1a1a1a1	0.010870	0.000000	92	2145
