Haplogroup	Frequency_Africa	Frequency_non_Africa	Total_Africa	Total_non_Africa
B4a1a1	0.000297	0.000319	3363	50111
B4a1a1b	0.178412	0.000040	3363	50111
E1	0.000297	0.000020	3363	50111
E1a1a	0.000595	0.000120	3363	50111
E1a1a1	0.053821	0.000499	3363	50111
F3b1b	0.039251	0.000100	3363	50111
F4b	0.000297	0.000798	3363	50111
F4b1	0.005352	0.000539	3363	50111
H	0.003568	0.002055	3363	50111
H+152	0.000595	0.000259	3363	50111
H+16129	0.000297	0.000060	3363	50111
H1	0.003568	0.003273	3363	50111
H1+152	0.001189	0.000659	3363	50111
H1+16189	0.000595	0.000200	3363	50111
H1+16311	0.000297	0.001018	3363	50111
H10	0.000297	0.000060	3363	50111
H101	0.000297	0.000359	3363	50111
H10a1	0.000297	0.000120	3363	50111
H13a1a2a	0.000297	0.000040	3363	50111
H13a2a1	0.000297	0.000080	3363	50111
H13b1	0.000297	0.000020	3363	50111
H14b4	0.000297	0.000040	3363	50111
H15b1	0.000297	0.000080	3363	50111
H1af1	0.000297	0.000020	3363	50111
H1ak	0.000297	0.000120	3363	50111
H1ak1	0.000297	0.000040	3363	50111
H1b	0.000297	0.000978	3363	50111
H1c5	0.000297	0.000020	3363	50111
H1c9	0.000297	0.000020	3363	50111
H1e	0.000595	0.000220	3363	50111
H1e1a6	0.000595	0.000060	3363	50111
H1t2	0.000297	0.000040	3363	50111
H1v	0.001487	0.000040	3363	50111
H1v1	0.000297	0.000000	3363	50111
H20c	0.000892	0.000180	3363	50111
H23	0.000595	0.001217	3363	50111
H2a1+146	0.000297	0.000020	3363	50111
H2a1a	0.000297	0.000678	3363	50111
H2a5b	0.000297	0.000040	3363	50111
H3	0.000297	0.005987	3363	50111
H3+16311	0.000297	0.000060	3363	50111
H30a	0.000297	0.000020	3363	50111
H32	0.000297	0.000120	3363	50111
H3aa	0.000297	0.000040	3363	50111
H3g1	0.000297	0.000060	3363	50111
H3r	0.000297	0.000040	3363	50111
H3r1	0.000297	0.000040	3363	50111
H3u	0.000595	0.000459	3363	50111
H4a1	0.000297	0.000220	3363	50111
H4a1a	0.000297	0.000080	3363	50111
H5	0.001487	0.000599	3363	50111
H53	0.000297	0.000040	3363	50111
H55b	0.000297	0.000060	3363	50111
H5a1	0.000297	0.000479	3363	50111
H61	0.000297	0.000080	3363	50111
H6a1a	0.000297	0.000379	3363	50111
