Haplogroup,score
A,0
A+152,0
A+152+16362,0
A+152+16362+200,0
A11+16234,0
A13,0
A14,0
A15a,0
A17,0
A25,0
A2ad1,0
A5b1,0
A8a,0
B2o,0
B4,0
B4+16261,0
B4a,0
B4a1a,0
B4a1a3a1,0
B4a1c,0
B4a1c+146,1
B4a1c2,0
B4a1c4,0
B4a1e,0
B4a4,0
B4a5,0
B4b1,0
B4b1a,0
B4b1a2,0
B4b1a2a,0
B4b1a2b1,0
B4b1a2c,1
B4b1a2d,1
B4b1a2i,0
B4b1c1,0
B4c,0
B4c1a,0
B4c1b,0
B4c1b+16335,0
B4c1b2a,0
B4c1b2a2,0
B4c1b2b,0
B4c1b2c,0
B4c1b2c2,0
B4c1c1,0
B4c2,0
B4c2b,0
B4c2c,0
B4d1a,0
B4e,0
B4g,0
B4g1,0
B4g1a,0
B4g2,0
B4h,0
B4h1,0
B4k,0
B4m,0
B5a,0
B5a1,0
B5a1a,0
B5a1b1,0
B5a1c,0
B5a1c1a,0
B5a1c1a1,0
B5a1d,0
B5a2a1a,0
B5b,0
B5b1,0
B5b1a,0
B5b1c,0
B5b2+@204,0
B5b2a1,0
B6,1
B6a,0
B6a1,0
B6a1a,0
C,0
C4+152,0
C4a1,0
C4a1b,0
C4a2,0
C4a2b,0
C4a2b2,0
C4a2c,0
C4a2c2,0
C4b1,0
C4b8a,0
C4c1b,0
C4d,0
C5d,0
C7,0
C7+16051,0
C7a,0
C7a1,0
C7a1a,1
C7a2,0
CZ,1
D4,0
D4a,0
D4a1e,0
D4a5,0
D4a7,0
D4b,0
D4b1,0
D4b1a,0
D4b1a1,0
D4b1b,0
D4b1d,0
D4b2,0
D4b2a1,0
D4b2b,0
D4b2b2a,0
D4e1a,0
D4e1a2,0
D4e1a3,0
D4e3,0
D4g2a,0
D4g2a1,0
D4g2a1b,0
D4g2a1c,0
D4h,0
D4h1,0
D4h1c,0
D4h3,0
D4i,0
D4j+146,0
D4j1,0
D4j1a,0
D4j1a1,0
D4j1b,0
D4j1b2,0
D4j2,0
D4j3,0
D4k,0
D4q,0
D4s,0
D5,0
D5a2a+16092,0
D5a2a1,0
D5a2a1+@16172,0
D5a2b,0
D5b1c1,0
D5b1c1a,0
D5b3,0
D5b4,0
D5c+16311,0
D6a2,0
D6c,0
E1a1a1,0
E1a1a1a,0
E2a,0
E2a1a,0
E2b,0
F1+16189,0
F1a,0
F1a'c'f,0
F1a1,0
F1a1'4,0
F1a1a,0
F1a1a1,0
F1a1c,0
F1a1c1,0
F1a1d,0
F1a2,0
F1a2a,0
F1a3,0
F1a3+16311,0
F1a4a,0
F1a4a1,0
F1a4b,0
F1b1+@152,0
F1b1c,0
F1c1,0
F1c1a,0
F1c1a1,0
F1c1a2,0
F1d,0
F1d1,0
F1e,0
F1e3,0
F1f,0
F1g,0
F1g1,0
F2,0
F2a,0
F2a+@16291,0
F2a1,0
F2b1,0
F2d,0
F2e,0
F2h,0
F3a,0
F3a+207,0
F3a1,0
F3b,0
F3b+152,0
F3b1a,0
F3b1a1,0
F3b1b,0
F4a2,0
F4b,0
G,0
G1a,0
G1a1,0
G1a2,0
G1c,0
G2,0
G2a,0
G2a+152,0
G2a1,0
G2a1+16189,0
G2a1d2,0
G2a1d2a,0
G2b1a,0
G2b1a1,0
G2b1a2,0
G2b2c,0
G2c,0
G3a1'2,0
G3a3,0
G3b2,0
H13a2a,0
H14,0
H1c4b,0
H5,0
H5a1+16093,0
H5a1g,1
HV12b1,0
HV4b,0
I1b,0
I1e,0
K1a4,0
K1a5a,0
L3b1a+@16124,0
L3c,0
L3f,0
L3h1,1
M,0
M1'20'51,0
M10,0
M10a,0
M10a1,0
M10a1+16129,0
M10a1a,0
M10a1a1,0
M10a1a1b,0
M10a1a1b1,0
M10a1b,0
M11a,0
M11a2,0
M12,1
M12a1,1
M12a1a,0
M12a1a1,0
M12a1a2,0
M12a1b,0
M12a2,0
M12b,1
M12b1a,1
M12b1a2,1
M12b1a2a,1
M12b1a2b,1
M12b1b,1
M12b2,0
M12b2a,1
M13,0
M13'46'61+16362,0
M13a1b,0
M13a2,0
M13b1,0
M13c,0
M17a,0
M17c,0
M17c1a,0
M17c1a1,0
M17c1a1a,0
M18'38,0
M18c,0
M19,0
M2,1
M20,0
M21a,0
M21b,0
M21b+210,1
M21b1,1
M21b1a,0
M21b2,0
M22a,0
M22b,0
M23,0
M23'75,0
M24a,0
M24b,0
M26,0
M28,1
M29a,0
M2a1a,0
M2c,0
M30,0
M30c1,0
M30e,0
M31a,1
M31a2,0
M31b,1
M31b'c,1
M32'56,1
M32c,0
M33a1,1
M33a2'3,1
M33a3a,0
M33b,0
M33b1,0
M33c,0
M34a1,0
M34a1a,0
M34a2,0
M35a,0
M35b+16304,0
M35b1,0
M35b4,0
M36d,0
M37+152+151,0
M37e,0
M37e2,0
M38,0
M38a,0
M38b,0
M3a1+204,0
M3c,0
M3c+152,0
M3c1,1
M3d,0
M3d1a,0
M4'67,1
M4'67+16311,0
M40a1,0
M42b,1
M43+16311,1
M43a1,0
M44,0
