Haplogroup,score
C2a1a1b1a,0
C2a1a3a1e1,1
C2b1a1a1a1,0
C2b1a1a1b,0
C2b1a2a1a1,0
C2b1a2b2a,1
D1a1b1a,1
G2a2b2a1a1c1b,1
N1a1a1a1a3a2b2,1
N1a2a1,1
N1a2a1a1,1
N1b1a1,1
N1b1a1a,1
N1b1a1b,1
N1b1a2a,1
N1b1b1,1
N1b2,0
N1b2a1a,1
O1a1a1a1a1a1a,1
O1a1a1a1a1a1d1a1,1
O1a1a1a1a1a2a2,1
O1a1a1a3a,1
O1a1a1b1a1,1
O1a1a2a1a1a,1
O1a1a2a1b1a,1
O1a1a2c,1
O1a1b,1
O1b1a1a1a1a1a1b1,1
O1b1a1a1a1b1b1,1
O1b1a1a1a1b2a1a2,1
O1b1a1a1a2,1
O1b1a1b1a1a1,1
O1b1a2a,1
O1b1a2a1,0
O1b1a2a1a,1
O1b1a2b1a,1
O1b2a1a2a1b1,1
O1b2a1b,1
O2a1a1a1b1a,1
O2a1a1b1a1b,1
O2a1b1a1a1a1a1a1b1,1
O2a1b1a1a1a1a1b1a1,1
O2a1b1a1a1a1a1b2,1
O2a1b1a1a1a1a3,1
O2a1b1a1a1a1d1,1
O2a1b1a2a1a2b,1
O2a1b2,1
O2a2a1a1a1b,1
O2a2a2a1,1
O2a2b1a1a1,0
O2a2b1a1a1a1a1a1a1a5,1
O2a2b1a1a1a1a1a1b1,1
O2a2b1a1a1a1a1b1,1
O2a2b1a1a1a1a1b1a1a2,1
O2a2b1a1a1a1a1c1,0
O2a2b1a1a1a1b,1
O2a2b1a1a1a4a,0
O2a2b1a1a1b1a1b,0
O2a2b1a1a1b2,1
O2a2b1a1b,1
O2a2b1a2a1,1
O2a2b1a2a1a1a1,1
O2a2b1a2a1a1a2a1,1
O2a2b1a2a1a1a2a1a1a,0
O2a2b1a2a1a1b,1
O2a2b1a2a1a1b1a1,1
O2a2b1a2a1a1b1b2a,1
O2a2b1a2a1a1b1b2b2,0
O2a2b1a2a1a4a1,1
O2a2b2b1a1,1
Q1a1a1a,0
Q1b1a3b,1
R1b1a1b1b,0
