Haplogroup,Score_Africa,Score_Central_Asia,Score_Southeast_Asia
A,0.000000,0.000000,0.000000
A+152,0.000000,0.000000,0.000000
A+152+16362,0.000000,0.000000,0.000000
A+152+16362+200,0.000000,0.000000,0.000000
A11+16234,0.000000,0.000000,0.000000
A12a,0.000000,0.000000,0.000000
A13,0.000000,0.000000,0.000000
A14,0.000000,0.000000,0.000000
A15a,0.000000,0.000000,0.000000
A17,0.000000,0.000000,0.000000
A25,0.000000,0.000000,0.000000
A2ad1,0.000000,0.000000,0.000000
A5,0.000000,0.000000,0.000000
A5b1,0.000000,0.000000,0.000000
A8a,0.000000,0.000000,0.000000
B2o,0.000000,0.000000,0.000000
B4,0.000000,0.000000,0.000000
B4+16261,0.000000,0.000000,0.000000
B4a,0.000000,0.000000,0.000000
B4a1a,0.000000,0.000000,0.000000
B4a1a1,0.000000,0.000000,0.000000
B4a1a1b,0.000000,0.000000,0.000000
B4a1a3a1,0.000000,0.000000,0.000000
B4a1c,0.000000,0.000000,0.000000
B4a1c+146,0.000000,0.000000,1.000000
B4a1c2,0.000000,0.000000,0.000000
B4a1c4,0.000000,0.000000,0.000000
B4a1e,0.000000,0.000000,0.000000
B4a4,0.000000,0.000000,0.000000
B4a5,0.000000,0.000000,0.000000
B4b1,0.000000,0.000000,0.000000
B4b1a,0.000000,0.000000,0.000000
B4b1a2,0.000000,0.000000,0.000000
B4b1a2a,0.000000,0.000000,0.000000
B4b1a2b1,0.000000,0.000000,0.000000
B4b1a2c,0.000000,0.000000,1.000000
B4b1a2d,0.000000,0.000000,1.000000
B4b1a2i,0.000000,0.000000,0.000000
B4b1c1,0.000000,0.000000,0.000000
B4c,0.000000,0.000000,0.000000
B4c1a,0.000000,0.000000,0.000000
B4c1b,0.000000,0.000000,0.000000
B4c1b+16335,0.000000,0.000000,0.000000
B4c1b2a,0.000000,0.000000,0.000000
B4c1b2a2,0.000000,0.000000,0.000000
B4c1b2b,0.000000,0.000000,0.000000
B4c1b2c,0.000000,0.000000,0.000000
B4c1b2c2,0.000000,0.000000,0.000000
B4c1c1,0.000000,0.000000,0.000000
B4c2,0.000000,0.000000,0.000000
B4c2b,0.000000,0.000000,0.000000
B4c2c,0.000000,0.000000,0.000000
B4d1a,0.000000,0.000000,0.000000
B4e,0.000000,0.000000,0.000000
B4g,0.000000,0.000000,0.000000
B4g1,0.000000,0.000000,0.000000
B4g1a,0.000000,0.000000,0.000000
B4g2,0.000000,0.000000,0.000000
B4h,0.000000,0.000000,0.000000
B4h1,0.000000,0.000000,0.000000
B4k,0.000000,0.000000,0.000000
B4m,0.000000,0.000000,0.000000
B5a,0.000000,0.000000,0.000000
B5a1,0.000000,0.000000,0.000000
B5a1a,0.000000,0.000000,0.000000
B5a1b1,0.000000,0.000000,0.000000
B5a1c,0.000000,0.000000,0.000000
B5a1c1a,0.000000,0.000000,0.000000
B5a1c1a1,0.000000,0.000000,0.000000
B5a1d,0.000000,0.000000,0.000000
B5a2a1a,0.000000,0.000000,0.000000
B5b,0.000000,0.000000,0.000000
B5b1,0.000000,0.000000,0.000000
B5b1a,0.000000,0.000000,0.000000
B5b1c,0.000000,0.000000,0.000000
B5b2+@204,0.000000,0.000000,0.000000
B5b2a1,0.000000,0.000000,0.000000
B6,0.000000,0.000000,1.000000
B6a,0.000000,0.000000,0.000000
B6a1,0.000000,0.000000,0.000000
B6a1a,0.000000,0.000000,0.000000
C,0.000000,0.000000,0.000000
C1f,0.000000,0.000000,0.000000
C4+152,0.000000,0.000000,0.000000
C4a1,0.000000,0.000000,0.000000
C4a1b,0.000000,0.000000,0.000000
C4a2,0.000000,0.000000,0.000000
C4a2a,0.000000,0.000000,0.000000
C4a2a1,0.000000,0.000000,0.000000
C4a2b,0.000000,0.000000,0.000000
