ID,Continent,Haplogroup
Sample1,Africa,L3f1b2
Sample2,Africa,L3f1b2
Sample3,Africa,L3f1b2
Sample4,Africa,L3f1b2
Sample5,Africa,L3f1b4a1
Sample6,Africa,L3f1b4b
Sample7,Africa,L3f1b4c
Sample8,Africa,L3f1b5
Sample9,Africa,L3f1b5
Sample10,Africa,L3f2a1a
Sample11,Central_Asia,U2e1a1b
Sample12,Central_Asia,U2e1a1b
Sample13,Central_Asia,U2e1a1b
Sample14,Central_Asia,U2e1a1b
Sample15,Central_Asia,U2e1b2
Sample16,Central_Asia,U2e1c
Sample17,Central_Asia,U2e1c1
Sample18,Central_Asia,U2e1c1
Sample19,Central_Asia,U2e1e
Sample20,Central_Asia,U2e1f
Sample21,East_Asia,A
Sample22,East_Asia,A
Sample23,East_Asia,A
Sample24,East_Asia,A+152+16362+16189
Sample25,East_Asia,A+152+16362+200
Sample26,East_Asia,A1
Sample27,East_Asia,A10
Sample28,East_Asia,A11
Sample29,East_Asia,A11
Sample30,Europe,H3z
Sample31,Europe,H3z1
Sample32,Europe,H3z2
Sample33,Europe,H4
Sample34,Europe,H4
Sample35,Europe,H4
Sample36,Europe,H4
Sample37,Europe,H4
Sample38,Europe,H42
Sample39,Europe,H42a
Sample40,Southeast_Asia,M13a2a1a
Sample41,Southeast_Asia,M13a2a1b
Sample42,Southeast_Asia,M13a2a1c
Sample43,Southeast_Asia,M13a2a1d
Sample44,Southeast_Asia,M13a2a1e
Sample45,Southeast_Asia,M13b1
Sample46,Southeast_Asia,M13b1
Sample47,Southeast_Asia,M13b1
Sample48,Southeast_Asia,M13b1
Sample49,Southeast_Asia,M15
Sample50,West_Asia,R7b1a
Sample51,West_Asia,R7b1a1
Sample52,West_Asia,R7b1a1
Sample53,West_Asia,R7b1a1
Sample54,West_Asia,R7b1a1
Sample55,West_Asia,R7b1a1
Sample56,West_Asia,R7b1a1
Sample57,West_Asia,R8a1a1a1a
Sample58,West_Asia,R8a1a1a2
Sample59,West_Asia,R8a1a1b
Sample60,West_Asia,R8a1a1c
